Rank;Global Rank;Institution;Country;Sector
1;6;Michigan State University;USA;Universities;
2;7;Pennsylvania State University *;USA;Universities;
3;8;University of Michigan, Ann Arbor *;USA;Universities;
4;9;Harvard University *;USA;Universities;
5;11;Stanford University *;USA;Universities;
6;12;Arizona State University;USA;Universities;
7;13;University of Texas, Austin;USA;Universities;
8;16;University of Washington *;USA;Universities;
9;17;University of California, Berkeley *;USA;Universities;
10;19;Purdue University;USA;Universities;
11;20;University of Minnesota, Twin Cities *;USA;Universities;
12;21;Ohio State University, Columbus *;USA;Universities;
13;22;Columbia University *;USA;Universities;
14;23;New York University *;USA;Universities;
15;25;University of Wisconsin, Madison *;USA;Universities;
16;27;University of Illinois at Urbana-Champaign *;USA;Universities;
17;28;Vanderbilt University *;USA;Universities;
18;35;University of Pennsylvania *;USA;Universities;
19;37;University of Florida *;USA;Universities;
20;40;University of Pittsburgh *;USA;Universities;
21;41;University of California, Los Angeles *;USA;Universities;
22;42;University of North Carolina, Chapel Hill *;USA;Universities;
23;43;University of Maryland, Baltimore;USA;Universities;
24;46;University of Georgia;USA;Universities;
25;49;University of Virginia *;USA;Universities;
26;51;City University of New York *;USA;Universities;
27;52;Carnegie Mellon University *;USA;Universities;
28;53;Indiana University-Bloomington;USA;Universities;
29;54;Johns Hopkins University *;USA;Universities;
30;55;Massachusetts Institute of Technology *;USA;Universities;
31;59;University of Illinois, Chicago *;USA;Universities;
32;60;Rutgers, The State University of New Jersey;USA;Universities;
33;61;Northwestern University, Evanston *;USA;Universities;
34;66;University of Southern California *;USA;Universities;
35;67;Florida State University *;USA;Universities;
36;68;North Carolina State University;USA;Universities;
37;70;University of California, Irvine *;USA;Universities;
38;79;University of Kansas *;USA;Universities;
39;81;Duke University *;USA;Universities;
40;82;Harvard Medical School;USA;Universities;
41;85;University of Arizona *;USA;Universities;
42;88;Texas A&M University, College Station *;USA;Universities;
43;89;University of Colorado, Boulder *;USA;Universities;
44;90;Cornell University *;USA;Universities;
45;92;University of Connecticut, Storrs *;USA;Universities;
46;95;University of South Florida System *;USA;Universities;
47;99;Virginia Polytechnic Institute and State University;USA;Universities;
48;103;University of Missouri, Columbia *;USA;Universities;
49;105;University of Iowa *;USA;Universities;
50;106;Georgia State University;USA;Universities;
51;107;Iowa State University;USA;Universities;
52;111;University of California, San Diego *;USA;Universities;
53;112;Yale University *;USA;Universities;
54;116;University of South Florida;USA;Universities;
55;117;University of California, San Francisco *;USA;Universities;
56;119;Teachers College of Columbia University;USA;Universities;
57;120;Virginia Commonwealth University *;USA;Universities;
58;122;University of Nebraska, Lincoln;USA;Universities;
59;126;University of Delaware;USA;Universities;
60;131;University of Chicago *;USA;Universities;
61;135;University of Massachusetts, Amherst;USA;Universities;
62;140;George Mason University;USA;Universities;
63;143;Boston University *;USA;Universities;
64;145;University of Cincinnati *;USA;Universities;
65;146;University of California, Davis *;USA;Universities;
66;147;Brigham Young University;USA;Universities;
67;148;University of South Carolina *;USA;Universities;
68;150;Temple University *;USA;Universities;
69;151;University of North Carolina, Charlotte;USA;Universities;
70;154;University of North Texas;USA;Universities;
71;155;George Washington University *;USA;Universities;
72;158;University of Kentucky *;USA;Universities;
72;158;University of Central Florida;USA;Universities;
73;164;University of Utah *;USA;Universities;
74;171;Utah State University *;USA;Universities;
75;173;University of Colorado, Denver *;USA;Universities;
76;176;Princeton University;USA;Universities;
77;179;University of Maryland, College Park *;USA;Universities;
77;179;State University of New York, Buffalo;USA;Universities;
78;182;Georgia Institute of Technology *;USA;Universities;
79;184;University of Alabama, Tuscaloosa;USA;Universities;
80;185;Washington State University, Pullman *;USA;Universities;
81;198;University of Tennessee, Knoxville *;USA;Universities;
82;199;Boston College;USA;Universities;
83;202;University of California, Santa Barbara;USA;Universities;
84;204;West Virginia University *;USA;Universities;
85;213;University of Oregon;USA;Universities;
86;214;University of Hawaii, Manoa *;USA;Universities;
87;217;Florida International University;USA;Universities;
88;218;University of Oklahoma *;USA;Universities;
89;219;University of Houston;USA;Universities;
90;222;Old Dominion University;USA;Universities;
91;225;Brown University;USA;Universities;
92;241;Tufts University;USA;Universities;
93;242;University of New Mexico *;USA;Universities;
94;244;University of Nevada-Las Vegas;USA;Universities;
95;246;University of North Carolina, Greensboro;USA;Universities;
96;247;Clemson University;USA;Universities;
97;254;Oregon State University;USA;Universities;
98;256;Indiana University-Purdue University Indianapolis;USA;Universities;
99;257;Texas Tech University;USA;Universities;
100;260;University of Louisville *;USA;Universities;
101;264;Auburn University;USA;Universities;
102;271;Emory University *;USA;Universities;
103;275;Miami University of Ohio;USA;Universities;
104;276;Washington University in Saint Louis *;USA;Universities;
105;277;Kent State University;USA;Universities;
106;282;State University of New York, Albany;USA;Universities;
107;284;Northern Illinois University;USA;Universities;
108;287;Wayne State University;USA;Universities;
109;292;University of Miami *;USA;Universities;
110;293;University of Rochester *;USA;Universities;
111;294;Boise State University;USA;Universities;
112;297;University of Denver;USA;Universities;
113;299;Colorado State University, Fort Collins *;USA;Universities;
114;301;Western Michigan University;USA;Universities;
115;304;Texas State University, San Marcos;USA;Universities;
116;308;Northeastern University, USA;USA;Universities;
117;313;Georgetown University *;USA;Universities;
118;314;Uniformed Services University of the Health Sciences;USA;Universities;
119;316;University of California, Riverside;USA;Universities;
120;317;East Carolina University;USA;Universities;
121;324;University of Alabama, Birmingham *;USA;Universities;
122;327;San Diego State University;USA;Universities;
123;331;Portland State University;USA;Universities;
124;332;Louisiana State University, Baton Rouge;USA;Universities;
125;335;Loyola University of Chicago *;USA;Universities;
126;341;University of Memphis;USA;Universities;
127;342;Syracuse University;USA;Universities;
128;348;Illinois State University;USA;Universities;
128;348;City University of New York Graduate Center;USA;Universities;
129;351;University of California, Santa Cruz;USA;Universities;
129;351;University of Texas, San Antonio;USA;Universities;
130;352;Ball State University;USA;Universities;
131;356;Ohio University;USA;Universities;
132;368;University of Arkansas, Fayetteville;USA;Universities;
133;375;University of Massachusetts, Boston;USA;Universities;
134;379;Baylor College of Medicine;USA;Universities;
135;397;Oregon Health & Science University *;USA;Universities;
136;400;University of Northern Colorado *;USA;Universities;
137;401;Oklahoma State University, Stillwater;USA;Universities;
138;405;Florida Atlantic University;USA;Universities;
139;408;University of Colorado, Anschutz Medical Campus;USA;Universities;
140;409;State University of New York, Stony Brook *;USA;Universities;
141;410;University of Minnesota Health and Medicine;USA;Universities;
142;411;California Institute of Technology *;USA;Universities;
143;416;James Madison University;USA;Universities;
144;418;Georgia Southern University;USA;Universities;
145;419;University of Missouri, Saint Louis;USA;Universities;
146;421;University of Notre Dame;USA;Universities;
147;423;Case Western Reserve University;USA;Universities;
148;429;University of Texas, El Paso;USA;Universities;
149;430;Drexel University;USA;Universities;
150;437;San Jose State University;USA;Universities;
151;441;University of Wisconsin, Milwaukee;USA;Universities;
152;447;University of New Hampshire;USA;Universities;
152;447;Northern Arizona University;USA;Universities;
153;448;Kennesaw State University;USA;Universities;
154;450;Southern Methodist University;USA;Universities;
154;450;Saint Louis University, Saint Louis *;USA;Universities;
155;452;University of Vermont;USA;Universities;
156;453;Icahn School of Medicine at Mount Sinai;USA;Universities;
157;456;University of Wyoming;USA;Universities;
158;457;Wright State University;USA;Universities;
159;469;Baylor University;USA;Universities;
160;472;University of Nevada-Reno;USA;Universities;
161;474;Kansas State University;USA;Universities;
162;475;Fordham University;USA;Universities;
163;477;Montclair State University;USA;Universities;
164;479;Mississippi State University;USA;Universities;
165;488;Towson University;USA;Universities;
166;492;California State University, Long Beach;USA;Universities;
167;499;San Francisco State University;USA;Universities;
168;500;Dartmouth College *;USA;Universities;
169;507;University of North Dakota;USA;Universities;
170;510;Wichita State University;USA;Universities;
170;510;University of Nebraska Medical Center;USA;Universities;
171;511;University of Mississippi *;USA;Universities;
172;513;Wake Forest University *;USA;Universities;
173;518;University of Maryland, Baltimore County;USA;Universities;
174;520;California State University, Fullerton;USA;Universities;
174;520;Southern Illinois University, Carbondale *;USA;Universities;
175;521;Loyola Marymount University;USA;Universities;
175;521;University of Texas Southwestern Medical Center ;USA;Universities;
176;523;Lehigh University;USA;Universities;
176;523;Villanova University;USA;Universities;
177;525;Rowan University;USA;Universities;
178;527;North Dakota State University;USA;Universities;
179;528;New Mexico State University;USA;Universities;
180;530;Sam Houston State University;USA;Universities;
181;531;Grand Valley State University;USA;Universities;
182;532;Rice University;USA;Universities;
183;537;University of Rhode Island;USA;Universities;
184;539;Rochester Institute of Technology *;USA;Universities;
185;540;Weill Cornell Medicine;USA;Universities;
186;544;University of Texas, Arlington;USA;Universities;
187;551;Marshall University;USA;Universities;
188;553;University of Colorado, Colorado Springs;USA;Universities;
189;554;American University;USA;Universities;
190;555;University of Texas, Health Science Center at Houston;USA;Universities;
191;558;Chapman University;USA;Universities;
192;559;Oakland University;USA;Universities;
192;559;Bowling Green State University;USA;Universities;
193;560;DePaul University;USA;Universities;
194;561;University of Nebraska, Omaha;USA;Universities;
195;568;University of Pittsburgh Health Sciences;USA;Universities;
196;571;Duquesne University;USA;Universities;
197;572;Texas Christian University;USA;Universities;
198;574;University of Idaho;USA;Universities;
199;575;Central Michigan University;USA;Universities;
200;579;Montana State University, Bozeman;USA;Universities;
201;581;Elon University;USA;Universities;
202;583;City University of New York, Hunter College;USA;Universities;
203;588;Tulane University *;USA;Universities;
204;589;Appalachian State University;USA;Universities;
205;590;University of North Carolina, Wilmington;USA;Universities;
206;592;College of William and Mary;USA;Universities;
207;600;Marquette University;USA;Universities;
208;602;University of Toledo *;USA;Universities;
208;602;Worcester Polytechnic Institute;USA;Universities;
209;603;Harvey Mudd College;USA;Universities;
210;604;University of Akron;USA;Universities;
211;606;State University of New York at Binghamton;USA;Universities;
212;607;City University of New York, Queens College;USA;Universities;
213;609;University of Southern Mississippi;USA;Universities;
214;611;Cleveland State University;USA;Universities;
215;616;University of Texas, Dallas;USA;Universities;
216;618;Texas A&M University, Corpus Christi;USA;Universities;
216;618;University of Maine, Orono;USA;Universities;
217;623;Pace University;USA;Universities;
218;629;Middle Tennessee State University;USA;Universities;
218;629;University of Missouri, Kansas City;USA;Universities;
219;630;University of San Francisco;USA;Universities;
219;630;University at Texas Rio Grande Valley;USA;Universities;
220;631;California State University, Northridge;USA;Universities;
221;633;University of California, Merced;USA;Universities;
222;634;Western Washington University;USA;Universities;
223;637;Indiana University of Pennsylvania;USA;Universities;
223;637;East Tennessee State University;USA;Universities;
224;638;California State University, Chico;USA;Universities;
225;639;University of Northern Iowa;USA;Universities;
226;641;Medical University of South Carolina *;USA;Universities;
227;642;Thomas Jefferson University *;USA;Universities;
228;649;North Carolina A&T State University;USA;Universities;
229;650;Hofstra University *;USA;Universities;
230;652;Seton Hall University;USA;Universities;
231;654;University of Arkansas for Medical Sciences;USA;Universities;
232;655;California Polytechnic State University, San Luis Obispo;USA;Universities;
233;656;Texas Woman's University;USA;Universities;
234;660;Nova Southeastern University, Estados Unidos;USA;Universities;
235;661;University of Massachusetts, Lowell;USA;Universities;
236;663;Rush University *;USA;Universities;
237;665;Western Kentucky University;USA;Universities;
238;667;Creighton University;USA;Universities;
238;667;University of Wisconsin, Whitewater;USA;Universities;
239;669;California State University, Los Angeles;USA;Universities;
240;673;Saint John's University;USA;Universities;
240;673;California State University, East Bay;USA;Universities;
241;677;University of San Diego;USA;Universities;
242;678;Midwestern University;USA;Universities;
242;678;Augusta University *;USA;Universities;
243;679;State University of West Georgia;USA;Universities;
243;679;Howard University *;USA;Universities;
243;679;University of the Pacific;USA;Universities;
244;680;The College of New Jersey;USA;Universities;
245;682;University of Massachusetts Medical School;USA;Universities;
245;682;University of South Alabama *;USA;Universities;
246;684;Brandeis University;USA;Universities;
246;684;Southern Illinois University Edwardsville;USA;Universities;
247;685;California State Polytechnic University, Pomona;USA;Universities;
248;686;Smith College;USA;Universities;
248;686;Loyola University Maryland;USA;Universities;
249;698;Washington State University, Spokane Campus;USA;Universities;
250;702;Western New England University;USA;Universities;
251;703;University of Massachusetts, Dartmouth;USA;Universities;
251;703;Idaho State University;USA;Universities;
252;704;City University of New York, City College;USA;Universities;
253;706;Clark University;USA;Universities;
254;708;Mercer University;USA;Universities;
255;710;University of North Florida;USA;Universities;
256;711;Illinois Institute of Technology;USA;Universities;
257;712;University of South Dakota;USA;Universities;
258;714;University of Mississippi Medical Center;USA;Universities;
258;714;Bryn Mawr College;USA;Universities;
259;716;Michigan Technological University;USA;Universities;
259;716;City University of New York, College of Staten Island;USA;Universities;
260;717;Central Connecticut State University;USA;Universities;
261;720;University of South Florida-Saint Petersburg;USA;Universities;
262;721;Carleton College;USA;Universities;
263;724;University of Oklahoma Health Sciences Center;USA;Universities;
264;726;Santa Clara University;USA;Universities;
265;728;University of Alaska, Fairbanks;USA;Universities;
266;729;South Dakota State University;USA;Universities;
266;729;Eastern Michigan University;USA;Universities;
267;730;Embry-Riddle Aeronautical University *;USA;Universities;
268;731;California State University, Fresno;USA;Universities;
268;731;University of Dayton;USA;Universities;
269;732;Drake University;USA;Universities;
269;732;Texas Tech University Health Sciences Center;USA;Universities;
