Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
1;4;Harvard University *;USA;Universities;1
2;7;Facebook Inc, United States;USA;Companies;1
3;8;Harvard Medical School;USA;Universities;1
4;11;Google Inc, USA;USA;Companies;1
5;12;U.S. Department of Health & Human Services *;USA;Health;1
6;14;Stanford University *;USA;Universities;1
7;17;National Institutes of Health;USA;Health;1
8;18;Massachusetts Institute of Technology *;USA;Universities;1
9;23;Johns Hopkins University *;USA;Universities;1
10;26;University of Michigan, Ann Arbor *;USA;Universities;1
11;27;American Cancer Society;USA;Health;1
12;28;Microsoft, USA;USA;Companies;1
13;31;University of Washington *;USA;Universities;1
14;32;University of Pennsylvania *;USA;Universities;1
15;36;University of California, Los Angeles *;USA;Universities;1
16;37;Cornell University *;USA;Universities;1
17;38;Veterans Affairs Medical Centers *;USA;Health;1
18;40;University of California, San Diego *;USA;Universities;1
18;40;Columbia University *;USA;Universities;1
19;42;University of California, Berkeley *;USA;Universities;1
20;46;Yale University *;USA;Universities;1
21;50;University of California, San Francisco *;USA;Universities;1
22;51;The New York Genome Center;USA;Health;1
23;52;Howard Hughes Medical Institute *;USA;Health;1
24;53;University of Chicago *;USA;Universities;1
25;54;Massachusetts General Hospital;USA;Health;1
26;56;Duke University *;USA;Universities;1
27;58;Broad Institute of MIT and Harvard;USA;Health;1
28;60;Northwestern University, Evanston *;USA;Universities;1
29;61;Mayo Clinic *;USA;Health;1
30;63;University of Wisconsin, Madison *;USA;Universities;1
31;65;University of North Carolina, Chapel Hill *;USA;Universities;1
32;66;Brigham and Women's Hospital;USA;Health;1
33;68;Ionis Pharmaceuticals;USA;Companies;1
34;69;University of Minnesota, Twin Cities *;USA;Universities;1
35;71;New York University *;USA;Universities;1
36;73;Ohio State University, Columbus *;USA;Universities;1
37;77;IBM United States;USA;Companies;1
38;80;University of Illinois at Urbana-Champaign *;USA;Universities;1
39;86;University of Pittsburgh *;USA;Universities;1
40;87;Johns Hopkins Medicine;USA;Health;1
41;92;Apple Inc, USA;USA;Companies;1
42;96;National Center for Biotechnology Information;USA;Government;1
43;97;University of California, Davis *;USA;Universities;1
44;100;Whitehead Institute for Biomedical Research;USA;Health;1
45;101;Pennsylvania State University *;USA;Universities;1
46;102;NVIDIA Corp;USA;Companies;1
47;103;University of Florida *;USA;Universities;1
48;106;Washington University in Saint Louis *;USA;Universities;1
49;107;University of Texas, Austin;USA;Universities;1
50;108;University of Southern California *;USA;Universities;1
51;109;Dana Farber Cancer Institute ;USA;Health;1
52;111;NEC Corporation of America;USA;Companies;1
53;113;Memorial Sloan-Kettering Cancer Center;USA;Health;1
54;117;Novartis Institutes for Biomedical Research, United States;USA;Companies;1
55;120;Scripps Research Institute;USA;Health;1
56;122;University of Maryland, Baltimore;USA;Universities;1
56;122;Regeneron Pharmaceuticals Inc;USA;Companies;1
57;124;University of Texas M.D. Anderson Cancer Center ;USA;Health;1
58;125;Stanford Medicine;USA;Health;1
59;126;Emory University *;USA;Universities;1
60;127;University of Pennsylvania Health System;USA;Health;1
61;129;Vanderbilt University *;USA;Universities;1
62;132;Carnegie Mellon University *;USA;Universities;1
63;135;Purdue University;USA;Universities;1
64;136;Hoffmann-La Roche Ltd, United States;USA;Companies;1
65;139;Ragon Institute of MGH, MIT and Harvard;USA;Health;1
66;143;Yale University Health & Medicine;USA;Health;1
67;144;Georgia Institute of Technology *;USA;Universities;1
68;145;J. David Gladstone Institutes;USA;Health;1
69;146;Genentech Inc;USA;Companies;1
70;148;National Library of Medicine;USA;Health;1
71;150;Rutgers, The State University of New Jersey;USA;Universities;1
72;151;Harvard-MIT Division of Health Sciences and Tecnology;USA;Universities;1
73;153;Mount Sinai Health System *;USA;Health;1
74;155;Michigan State University;USA;Universities;1
75;157;Boston University *;USA;Universities;1
76;159;California Institute of Technology *;USA;Universities;1
77;160;Weill Cornell Medicine;USA;Universities;1
78;161;Ludwig Institute for Cancer Research *;USA;Health;1
79;163;Wistar Institute;USA;Health;1
80;164;National Cancer Institute;USA;Health;1
81;166;Cold Spring Harbor Laboratory;USA;Health;1
82;167;Columbia University Irving Medical Center;USA;Health;1
83;170;Sarah Cannon Research Institute;USA;Health;1
84;173;United States Department of Agriculture;USA;Government;1
84;173;Lawrence Berkeley National Laboratory *;USA;Government;1
85;176;Princeton University;USA;Universities;1
85;176;Chan Zuckerberg Biohub;USA;Health;1
86;178;Toyota Technological Institute at Chicago;USA;Universities;1
87;181;New York Blood Center;USA;Health;1
87;181;University of California, Irvine *;USA;Universities;1
88;182;Foundation Medicine Inc;USA;Companies;1
89;183;Mitsubishi Electric Research Laboratories;USA;Companies;1
90;184;Duke Medicine;USA;Health;1
90;184;University of Utah *;USA;Universities;1
91;186;National Institute of Allergy and Infectious Diseases;USA;Health;1
92;187;National Aeronautics and Space Administration *;USA;Government;1
92;187;Icahn School of Medicine at Mount Sinai;USA;Universities;1
93;188;Arizona State University;USA;Universities;1
94;190;Gilead Sciences Inc, United States;USA;Companies;1
95;196;Washington University Medical Center ;USA;Health;1
96;197;Texas A&M University, College Station *;USA;Universities;1
97;204;UCLA Health System;USA;Health;1
98;205;University of Colorado, Denver *;USA;Universities;1
99;206;UCSF Helen Diller Family Comprehensive Cancer Center;USA;Health;1
